step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
78,160,160000,40,139838,160,3674.9412937298416,1232.4515092413649,4462.82985368371,-191.32232749462128,0.42941356,0.002,0.009479999542236328,0.4185457229614258,0.0008839512,0.004627358,3570.8248321501833,3674.9412937298416,4828.053217752823,4470.005616608995
79,160,160000,37,139807,160,3681.030242784228,1232.805608824354,4534.1787571311,-198.09451204538345,0.5177685,0.002,0.009437322616577148,0.41059064865112305,0.000879304,0.0034327805,3581.8453732135877,3681.030242784228,4828.053217752823,4470.005616608995
80,160,160000,42,137822,160,3635.76036707256,1285.3343710902843,4486.7428404688835,-198.18188762664795,0.5170515,0.002,0.009310245513916016,0.40731287002563477,0.00089431996,0.0036112145,3587.2368725994847,3635.76036707256,4828.053217752823,4470.005616608995
81,160,160000,46,136215,160,3595.9759534007403,1270.5672609982012,4562.461399227381,-199.79662689566612,0.5009169,0.002,0.009520530700683594,0.4058094024658203,0.00084575306,0.003530413,3588.1107806796103,3595.9759534007403,4828.053217752823,4470.005616608995
82,160,160000,37,139983,160,3720.8877227017656,1247.606688110595,4601.9131149202585,-199.33788394927979,0.48986238,0.002,0.00884866714477539,0.4156322479248047,0.00088747265,0.0039236434,3601.3884748818264,3720.8877227017656,4828.053217752823,4470.005616608995
83,160,160000,38,138108,160,3677.956810973119,1308.7070899740459,4492.028979212046,-196.38190984725952,0.4951823,0.002,0.009142637252807617,0.40979623794555664,0.00088325515,0.003946077,3609.045308490956,3677.956810973119,4828.053217752823,4470.005616608995
84,160,160000,41,139462,160,3707.651297614165,1223.7591062561894,4520.222064673901,-180.08765776455402,0.51252323,0.002,0.010321855545043945,0.4108555316925049,0.0008730203,0.0036790296,3618.905907403277,3707.651297614165,4828.053217752823,4470.005616608995
85,160,160000,46,134339,160,3575.541587817343,1403.9142214386131,4574.4029830396175,-198.85550336539745,0.48105854,0.002,0.009077310562133789,0.3964102268218994,0.00086807954,0.0037670918,3614.5694754446836,3575.541587817343,4828.053217752823,4470.005616608995
86,160,160000,39,140048,160,3738.0237614488697,1228.634288259351,4551.4793011546135,-112.77650541067123,0.4472068,0.002,0.009107112884521484,0.41368961334228516,0.0009052865,0.0043603294,3626.9149040451025,3738.0237614488697,4828.053217752823,4470.005616608995
87,160,160000,58,127417,160,3386.903378642071,1457.5809927975467,4624.907055646181,-198.09410870075226,0.5204015,0.002,0.009830236434936523,0.38294243812561035,0.00081886235,0.00344247,3602.9137515047996,3386.903378642071,4828.053217752823,4470.005616608995
88,160,160000,32,141492,160,3812.8475047939455,1247.2063973073293,4570.706138700247,-198.0776602625847,0.5132666,0.002,0.010740280151367188,0.4177565574645996,0.00087975134,0.0037458725,3623.9071268337143,3812.8475047939455,4828.053217752823,4470.005616608995
89,160,160000,48,131101,160,3498.951413593907,1489.8312845759172,4536.882689714432,-197.82416200637817,0.49440968,0.002,0.009430885314941406,0.39012932777404785,0.0008097745,0.003524132,3611.4115555097337,3498.951413593907,4828.053217752823,4470.005616608995
90,160,160000,44,136751,160,3679.2471110645683,1357.2920021076995,4603.287019520998,-118.82894253730774,0.50726914,0.002,0.009737968444824219,0.40230870246887207,0.0008875422,0.0038050562,3618.195111065217,3679.2471110645683,4828.053217752823,4470.005616608995
91,160,160000,42,142227,160,3842.983969877753,1153.5515391051824,4603.114641726017,-194.28479886054993,0.5535869,0.002,0.009950399398803711,0.42133021354675293,0.0008392783,0.0034672394,3640.673996946471,3842.983969877753,4828.053217752823,4470.005616608995
92,160,160000,41,134087,160,3615.391271383129,1464.3768715114638,4596.721034705639,-200.77465987205505,0.5125372,0.002,0.009122610092163086,0.3988964557647705,0.0008391535,0.003646303,3638.145724390137,3615.391271383129,4828.053217752823,4470.005616608995
93,160,160000,39,139539,160,3781.3171953601764,1276.6183433883175,4574.568360686302,-193.4446700513363,0.5279716,0.002,0.009366989135742188,0.41458821296691895,0.0008636128,0.003550876,3652.4628714871405,3781.3171953601764,4828.053217752823,4470.005616608995
94,160,160000,43,141859,160,3848.711845687404,1133.9600999189888,4618.353245407343,-160.21555802226067,0.5517874,0.002,0.009100675582885742,0.41956210136413574,0.0007975542,0.0032611005,3672.0877689071667,3848.711845687404,4828.053217752823,4470.005616608995
95,160,160000,35,137156,160,3725.2580677437595,1437.5698655911651,4663.558262556791,-200.6097706258297,0.49930292,0.002,0.01064443588256836,0.40587425231933594,0.0008426963,0.0038992316,3677.404798790826,3725.2580677437595,4828.053217752823,4470.005616608995
96,160,160000,37,140802,160,3837.105020172382,1259.637753230778,4622.6462444365025,-194.03974080085754,0.54106605,0.002,0.010235309600830078,0.41506314277648926,0.00088286423,0.0034816712,3693.3748209289815,3837.105020172382,4828.053217752823,4470.005616608995
97,160,160000,52,131632,160,3557.3780830281785,1477.983344356087,4596.566138327122,-127.47574183344841,0.5203078,0.002,0.00868678092956543,0.3918614387512207,0.0008548583,0.0036965124,3679.7751471389015,3557.3780830281785,4828.053217752823,4470.005616608995
