step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
24,160,160000,1,159539,160,3922.6438210289225,222.2538136010817,4272.864124894142,1856.3201468139887,1.6030226,0.02,0.008950948715209961,0.3568000793457031,0.0066512562,0.009236563,3592.902703735499,3922.6438210289225,4325.575338011224,4329.436956413625
25,160,160000,0,160000,160,3959.6988143534863,165.92484972605203,4290.155421882868,2875.384652234614,1.6556808,0.02,0.00925898551940918,0.3574342727661133,0.0062424643,0.012240659,3629.582314797298,3959.6988143534863,4325.575338011224,4329.436956413625
26,160,160000,0,160000,160,3962.7371066888795,303.5159120737072,4298.950574487448,532.7058383114636,1.4370668,0.02,0.009938716888427734,0.36524486541748047,0.0066935555,0.018123869,3662.897793986456,3962.7371066888795,4325.575338011224,4329.436956413625
27,160,160000,0,160000,160,4024.8587693989743,135.05322728392397,4309.428538247943,3611.6063272356987,1.8927364,0.02,0.008869171142578125,0.3579390048980713,0.0063821883,0.009227917,3699.093891527708,4024.8587693989743,4325.575338011224,4329.436956413625
28,160,160000,0,160000,160,4041.0349715995835,260.05025362816235,4368.046694219112,1833.643968142569,1.2929201,0.02,0.008735895156860352,0.35685062408447266,0.0068816296,0.02073543,3733.2879995348953,4041.0349715995835,4325.575338011224,4329.436956413625
29,160,160000,1,159647,160,4061.128573354124,177.6577558868268,4323.544262379408,2499.428557485342,1.4899558,0.02,0.010238885879516602,0.3572812080383301,0.0065417583,0.0184539,3766.072056916818,4061.128573354124,4325.575338011224,4329.436956413625
30,160,160000,2,158665,160,4061.5081724520305,370.9638149252935,4361.488402187824,529.879533469677,1.1856914,0.02,0.008826017379760742,0.35326218605041504,0.00825304,0.02283212,3795.615668470339,4061.5081724520305,4325.575338011224,4329.436956413625
31,160,160000,0,160000,160,4101.5445435951,201.1275228854054,4446.096242636442,2365.279565554112,1.8866584,0.02,0.009491682052612305,0.3578660488128662,0.0062136673,0.011940688,3826.2085559828156,4101.5445435951,4325.575338011224,4329.436956413625
32,160,160000,1,159178,160,4111.7097886123465,333.1946352030784,4412.505605459213,301.80832631886005,1.8615996,0.02,0.009007692337036133,0.36038923263549805,0.00589488,0.009639055,3854.7586792457687,4111.7097886123465,4325.575338011224,4329.436956413625
33,160,160000,0,160000,160,4131.293172810622,296.55227681810067,4479.386438161135,1423.2963150888681,1.2622797,0.02,0.008812665939331055,0.3630077838897705,0.007327771,0.018134277,3882.412128602254,4131.293172810622,4325.575338011224,4329.436956413625
34,160,160000,0,160000,160,4171.217531396961,127.88552991750805,4437.815450847149,3841.9829711169004,1.7656103,0.02,0.008974790573120117,0.3613576889038086,0.006344845,0.008810949,3911.2926688817247,4171.217531396961,4325.575338011224,4329.436956413625
35,160,160000,0,160000,160,4202.805622659903,130.65644168439772,4496.135997802019,3886.99489235878,1.9325122,0.02,0.00878763198852539,0.3601555824279785,0.006175001,0.008776408,3940.4439642595426,4202.805622659903,4325.575338011224,4329.436956413625
36,160,160000,0,160000,160,4220.37740909378,175.72246763727517,4616.279264628887,3114.8538576588035,1.8977625,0.02,0.008844137191772461,0.3620750904083252,0.0056282436,0.010867443,3968.4373087429663,4220.37740909378,4325.575338011224,4329.436956413625
37,160,160000,1,159417,160,4242.275402180804,278.32391682973207,4534.355980619788,1449.2972837090492,1.7141321,0.02,0.008920907974243164,0.3596482276916504,0.0066866586,0.011884797,3995.82111808675,4242.275402180804,4325.575338011224,4329.436956413625
